animal_id,species,sex,place,date,age_y,rvf,vnt_titre,pattern,numbleeds,seroconverted
37994,bovine,f,1,21jun2016,6,1,,1.............,1,
38005,bovine,f,1,21jun2016,6,0,,01............,2,1
38005,bovine,f,1,17nov2016,6.4082192,1,10,01............,2,1
38008,bovine,f,1,21jun2016,9,0,,0.............,1,
72864,bovine,f,1,21jun2016,2,0,,0.............,1,
72876,bovine,f,1,21jun2016,5,0,,0.............,1,
72879,bovine,f,1,21jun2016,5,0,,0.............,1,
72915,bovine,f,1,21jun2016,4,0,,0.............,1,
J39SM,bovine,m,1,21jun2016,6,0,,0.............,1,
39842,bovine,f,1,21jun2016,5,1,20,1.............,1,
39843h,bovine,f,1,21jun2016,6,0,,0.............,1,
39856,bovine,f,1,21jun2016,4,1,28,1.............,1,
73604,bovine,f,1,21jun2016,8,0,,0.............,1,
73645,bovine,f,1,21jun2016,5,1,,1.............,1,
73649,bovine,f,1,21jun2016,6,0,,0.............,1,
37857,bovine,f,1,02may2017,5,1,640,.....1........,1,
37949,bovine,f,1,02may2017,6,1,20,.....1........,1,
37952,bovine,f,1,02may2017,10,1,640,.....1........,1,
37954,bovine,f,1,02may2017,6,1,20,.....1........,1,
37956,bovine,f,1,02may2017,6,1,40,.....1........,1,
37972,bovine,f,1,02may2017,5,1,10,.....1.1......,2,
37972,bovine,f,1,24aug2017,5.3123288,1,10,.....1.1......,2,
37973,bovine,f,1,02may2017,4,0,,.....0.0......,2,0
37973,bovine,f,1,24aug2017,4.3123288,0,,.....0.0......,2,0
37974,bovine,f,1,02may2017,6,1,20,.....1........,1,
37979,bovine,m,1,02may2017,5,0,,.....0.0......,2,0
37979,bovine,m,1,24aug2017,5.3123288,0,,.....0.0......,2,0
37981,bovine,f,1,02may2017,9,1,10,.....1........,1,
38989,bovine,f,1,02may2017,14,1,80,.....1........,1,
39909,bovine,f,1,21jun2016,2,0,,0.............,1,
40771,bovine,f,1,21jun2016,4,1,28,1.............,1,
78602,bovine,f,1,21jun2016,3,0,,0.............,1,
38713,bovine,m,1,21jun2016,5,0,,0.............,1,
38715,bovine,f,1,21jun2016,4,1,,1.............,1,
38719,bovine,f,1,21jun2016,6,0,,0.............,1,
38720,bovine,f,1,21jun2016,2,0,,0.............,1,
73090,bovine,f,1,21jun2016,5,0,,0.............,1,
73131,bovine,f,1,21jun2016,6,0,,0.............,1,
73132,bovine,f,1,21jun2016,2,0,,0.............,1,
73135,bovine,f,1,21jun2016,8,0,,0.............,1,
38509,bovine,f,1,21jun2016,8,0,,01............,2,1
38509,bovine,f,1,17nov2016,8.4082192,1,40,01............,2,1
38525,bovine,f,1,21jun2016,4,0,,01............,2,1
38525,bovine,f,1,17nov2016,4.4082192,1,10,01............,2,1
39591,bovine,f,1,21jun2016,6,0,,0.............,1,
39603h,bovine,f,1,21jun2016,6,1,14,1.............,1,
39605,bovine,f,1,21jun2016,5,0,,01............,2,1
39605,bovine,f,1,17nov2016,5.4082192,1,40,01............,2,1
11608,bovine,f,1,21jun2016,10,0,,0.............,1,
11870,bovine,f,1,21jun2016,3,1,,1.............,1,
17243,bovine,f,1,21jun2016,5,0,,0.............,1,
73224,bovine,f,1,21jun2016,6,0,,0.............,1,
73225,bovine,f,1,21jun2016,5,0,,0.............,1,
73227,bovine,f,1,21jun2016,4,1,,1.............,1,
73239,bovine,f,1,21jun2016,4,0,,0.............,1,
94726,bovine,m,1,21jun2016,4,1,,1.............,1,
94732,bovine,f,1,21jun2016,6,0,,0.............,1,
94740,bovine,m,1,21jun2016,6,1,14,1.............,1,
94742,bovine,f,1,21jun2016,6,1,,1.............,1,
37846,bovine,f,1,02may2017,4,0,,.....0.1......,2,1
37846,bovine,f,1,24aug2017,4.3123288,1,80,.....0.1......,2,1
37849,bovine,f,1,02may2017,4,0,,.....0........,1,
37850,bovine,f,1,02may2017,4,1,640,.....1........,1,
37855,bovine,f,1,02may2017,6,0,,.....0.0......,2,0
37855,bovine,f,1,24aug2017,6.3123288,0,,.....0.0......,2,0
37858,bovine,f,1,02may2017,6,0,,.....0.0......,2,0
37858,bovine,f,1,24aug2017,6.3123288,0,,.....0.0......,2,0
37860,bovine,f,1,02may2017,8,1,40,.....1........,1,
37861,bovine,f,1,02may2017,7,0,,.....0.0......,2,0
37861,bovine,f,1,24aug2017,7.3123288,0,,.....0.0......,2,0
37863,bovine,f,1,02may2017,7,1,160,.....1........,1,
38810,bovine,f,1,02may2017,6,0,,.....0........,1,
37870,bovine,f,1,21jun2016,5,1,,11............,2,
37870,bovine,f,1,17nov2016,5.4082192,1,80,11............,2,
37872,bovine,f,1,21jun2016,5,0,,00............,2,0
37872,bovine,f,1,17nov2016,5.4082192,0,,00............,2,0
37877,bovine,f,1,21jun2016,4,1,640,1.............,1,
37957,bovine,f,1,21jun2016,8,1,10,1.............,1,
37958,bovine,f,1,21jun2016,6,0,,01............,2,1
37958,bovine,f,1,17nov2016,6.4082192,1,40,01............,2,1
37959,bovine,f,1,21jun2016,6,0,,00...0........,3,0
37959,bovine,f,1,17nov2016,6.4082192,0,,00...0........,3,0
37959,bovine,f,1,02may2017,6.8630137,0,,00...0........,3,0
39641,bovine,f,1,21jun2016,5,1,,1.............,1,
38605,bovine,f,1,21jun2016,5,0,,0.............,1,
39907,bovine,f,1,21jun2016,7,1,,1.............,1,
38825,bovine,f,2,23jun2016,3,0,,0.............,1,
38936,bovine,f,2,23jun2016,4,0,,0.............,1,
38941,bovine,f,2,23jun2016,7,1,,1.............,1,
38916,bovine,f,2,23jun2016,4,0,,0.0...........,2,0
38916,bovine,f,2,19jan2017,4.5753425,0,,0.0...........,2,0
39516,bovine,f,2,23jun2016,6,1,640,1.............,1,
38801,bovine,f,2,23jun2016,4,0,,0.1...........,2,1
38801,bovine,f,2,19jan2017,4.5753425,1,40,0.1...........,2,1
39290,bovine,f,2,23jun2016,4,0,,0.............,1,
39291,bovine,f,2,23jun2016,5,0,,0.............,1,
39293,bovine,f,2,23jun2016,5,0,,0.............,1,
38861,bovine,f,2,23jun2016,5,0,,0.............,1,
38864,bovine,f,2,23jun2016,2,0,,0.............,1,
38871,bovine,f,2,23jun2016,4,0,,0.............,1,
27550,bovine,f,2,04may2017,7,0,,.....0........,1,
38803,bovine,f,2,04may2017,5,0,,.....0........,1,
78205,bovine,f,2,04may2017,10,0,,.....0........,1,
78207,bovine,f,2,04may2017,4,0,,.....0........,1,
78214,bovine,f,2,04may2017,4,0,,.....0........,1,
78216,bovine,f,2,04may2017,4,0,,.....0........,1,
78219,bovine,m,2,04may2017,8,0,,.....0........,1,
78222,bovine,f,2,04may2017,9,1,10,.....1........,1,
78233,bovine,f,2,04may2017,7,0,,.....0........,1,
78234,bovine,f,2,04may2017,8,0,,.....0........,1,
78242,bovine,f,2,04may2017,6,1,10,.....1........,1,
78244,bovine,f,2,04may2017,5,0,,.....0........,1,
9401,bovine,f,2,04may2017,5,1,160,.....1........,1,
