"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"1","Hlanjwana","2016-04-30","14980","14980",NA,"14980",NA,"14980",NA,"14980","1484.33333333333"
"2","Hlanjwana","2016-05-08","14873","14873",NA,"14873",NA,"14873",NA,"14861","169.333333333333"
"3","Hlanjwana","2016-05-16","14853","14853",NA,"14853",NA,"14853",NA,"14853","558.333333333333"
"4","Hlanjwana","2016-05-24","14808","14808",NA,"14808",NA,"14808",NA,"14808","482.333333333333"
"5","Hlanjwana","2016-06-01","14866","14866",NA,"14866",NA,"14866",NA,"14866","457.333333333333"
"6","Hlanjwana","2016-06-09","14770","14770",NA,"14770",NA,"14770",NA,"14775","67"
"7","Hlanjwana","2016-06-17","14915","14915",NA,"14915",NA,"14915",NA,"14915","193"
"8","Hlanjwana","2016-06-25","14873","14873",NA,"14873",NA,"14873",NA,"14876","496.333333333333"
"9","Hlanjwana","2016-07-03","14800","14800",NA,"14800",NA,"14800",NA,"14800","469"
"10","Hlanjwana","2016-07-11","14773","14773",NA,"14773",NA,"14773",NA,"14773","1352.33333333333"
"11","Hlanjwana","2016-07-19","14928","14928",NA,"14928",NA,"14928",NA,"14946","697.333333333333"
"12","Hlanjwana","2016-07-27","14821","14821",NA,"14821",NA,"14821",NA,"14850","394.333333333333"
"13","Hlanjwana","2016-08-04","14877","14877",NA,"14877",NA,"14877",NA,"14891","1249"
"14","Hlanjwana","2016-08-12","14985","14985",NA,"14985",NA,"14985",NA,"14985","1281"
"15","Hlanjwana","2016-08-20","14962","14962",NA,"14962",NA,"14962",NA,"15008","937.333333333333"
"16","Hlanjwana","2016-08-28","15192","15192",NA,"15192",NA,"15192",NA,"15221","1390.33333333333"
"17","Hlanjwana","2016-09-05","15190","15190",NA,"15190",NA,"15190",NA,"15197","764.333333333333"
"18","Hlanjwana","2016-09-13","14988","14988",NA,"14988",NA,"14988",NA,"14997","1200.33333333333"
"19","Hlanjwana","2016-09-21","15207","15207",NA,"15207",NA,"15207",NA,"15207","910.333333333333"
"20","Hlanjwana","2016-09-29","15031","15031",NA,"15031",NA,"15031",NA,"15074","646.333333333333"
"21","Hlanjwana","2016-10-07","15201","15201",NA,"15201",NA,"15201",NA,"15201","4769.33333333333"
"22","Hlanjwana","2016-10-15","15407","15407",NA,"15407",NA,"15407",NA,"15407","3523"
"23","Hlanjwana","2016-10-23","15000","15000",NA,"15000",NA,"15000",NA,"15070","14425.3333333333"
"24","Hlanjwana","2016-10-31","15449","15449",NA,"15449",NA,"15449",NA,"15449","4383"
"25","Hlanjwana","2016-11-08","15111","15111",NA,"15111",NA,"15111",NA,"15154","1806.33333333333"
"26","Hlanjwana","2016-11-16","15071","15071",NA,"15071",NA,"15071",NA,"15071","0"
"27","Hlanjwana","2016-11-24","15327","15327",NA,"15327",NA,"15327",NA,"15344","324.333333333333"
"28","Hlanjwana","2016-12-02","15314","15314",NA,"15314",NA,"15314",NA,"15314","1849.33333333333"
"29","Hlanjwana","2016-12-10","15345","15345",NA,"15345",NA,"15345",NA,"15290","4258.33333333333"
"30","Hlanjwana","2016-12-18","15532","15532",NA,"15532",NA,"15532",NA,"15532","1372"
"31","Hlanjwana","2016-12-26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Hlanjwana","2017-01-01","15145","15145",NA,"15145",NA,"15145",NA,"15171","1329.33333333333"
"33","Hlanjwana","2017-01-09","15075","15075",NA,"15075",NA,"15075",NA,"15075","4376.33333333333"
"34","Hlanjwana","2017-01-17","15102","15102",NA,"15102",NA,"15102",NA,"15104","3889"
"35","Hlanjwana","2017-01-25","15239","15239",NA,"15239",NA,"15239",NA,"15233","74.3333333333333"
"36","Hlanjwana","2017-02-02","15120","15120",NA,"15120",NA,"15120",NA,"15130","3700"
"37","Hlanjwana","2017-02-10","15278","15278",NA,"15278",NA,"15278",NA,"15278","277.333333333333"
"38","Hlanjwana","2017-02-18","15232","15232",NA,"15232",NA,"15232",NA,"15242","81.3333333333333"
"39","Hlanjwana","2017-02-26","15101","15101",NA,"15101",NA,"15101",NA,"15101","873"
"40","Hlanjwana","2017-03-06","15022","15022",NA,"15022",NA,"15022",NA,"15055","692.333333333333"
"41","Hlanjwana","2017-03-14","15032","15032",NA,"15032",NA,"15032",NA,"15032","399"
"42","Hlanjwana","2017-03-22","15098","15098",NA,"15098",NA,"15098",NA,"15105","31"
"43","Hlanjwana","2017-03-30","15144","15144",NA,"15144",NA,"15144",NA,"15147","3"
"44","Hlanjwana","2017-04-07","15103","15103",NA,"15103",NA,"15103",NA,"15103","142.333333333333"
"45","Hlanjwana","2017-04-15","15001","15001",NA,"15001",NA,"15001",NA,"15060","2770.33333333333"
"46","Hlanjwana","2017-04-23","15021","15021",NA,"15021",NA,"15021",NA,"15028","196.333333333333"
"47","Hlanjwana","2017-05-01","14920","14920",NA,"14920",NA,"14920",NA,"14934","329.333333333333"
"48","Hlanjwana","2017-05-09","14917","14917",NA,"14917",NA,"14917",NA,"14917","247"
"49","Hlanjwana","2017-05-17","14876","14876",NA,"14876",NA,"14876",NA,"14884","81.3333333333333"
"50","Hlanjwana","2017-05-25","14753","14753",NA,"14753",NA,"14753",NA,"14782","350.333333333333"
"51","Hlanjwana","2017-06-02","14861","14861",NA,"14861",NA,"14861",NA,"14861","1183"
"52","Hlanjwana","2017-06-10","14775","14775",NA,"14775",NA,"14775",NA,"14831","1192.33333333333"
"53","Hlanjwana","2017-06-18","14812","14812",NA,"14812",NA,"14812",NA,"14833","250.333333333333"
"54","Hlanjwana","2017-06-26","14803","14803",NA,"14803",NA,"14803",NA,"14801","34.3333333333333"
"55","Hlanjwana","2017-07-04","14923","14923",NA,"14923",NA,"14923",NA,"14923","169"
"56","Hlanjwana","2017-07-12","14885","14885",NA,"14885",NA,"14885",NA,"14891","309"
"57","Hlanjwana","2017-07-20","14852","14852",NA,"14852",NA,"14852",NA,"14897","706.333333333333"
"58","Hlanjwana","2017-07-28","14876","14876",NA,"14876",NA,"14876",NA,"14876","871"
"59","Hlanjwana","2017-08-05","14901","14901",NA,"14901",NA,"14901",NA,"14917","149.333333333333"
"60","Hlanjwana","2017-08-13","14901","14901",NA,"14901",NA,"14901",NA,"14913","624"
"61","Hlanjwana","2017-08-21","14986","14986",NA,"14986",NA,"14986",NA,"14999","196.333333333333"
"62","Hlanjwana","2017-08-29","14831","14831",NA,"14831",NA,"14831",NA,"14831","549.333333333333"
