"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"1","Hlanjwana","114","2016-04-22","2429","2951","269906.215663355","3353","383565.842644425","3473","331039.549584779","3390","321103.521566063"
"2","Hlanjwana","133","2016-05-08","2559","2783","247723.324956166","3237.5","322091.870260487","3375","262830.400848479","3282","269846.429254912"
"3","Hlanjwana","153","2016-05-24","3105","3112","77982.7048509644","3388","239126.793383341","3403","216916.873796004","3278","236886.272750806"
"4","Hlanjwana","162","2016-06-09","3098","3158","131145.87434249","3364","221097.959826093","3433","211268.294730918","3291","248805.370350439"
"5","Hlanjwana","185","2016-06-25","2310","2674","151342.981297487","2894","232024.335199283","2956","205923.827302833","2861","226181.081931738"
"6","Hlanjwana","201","2016-07-11","2243","2367","120943.168907072","2667","220874.28554635","2731","201657.051081883","2607","217348.199400079"
"7","Hlanjwana","217","2016-07-27","2198","2450","124256.391583869","2660.5","216024.725761308","2789","198397.058758595","2666","215145.674162279"
"8","Hlanjwana","240","2016-08-12","1979","2392","179432.545879603","2679","237174.788307956","2787","221113.302212827","2701","224139.579203481"
"9","Hlanjwana","249","2016-08-28","2043","2262","123066.284628872","2518","180874.582157785","2579","171863.823024365","2472","179549.765440257"
"10","Hlanjwana","265","2016-09-13","1976","2239","122121.632963179","2537","161060.396775638","2570","157516.487673249","2460","172787.273877077"
"11","Hlanjwana","279","2016-09-29","1869","2350","186074.201052016","2480","272810.263005672","2512","240790.024465913","2426","256576.339689049"
"12","Hlanjwana","290","2016-10-15","1887","2160","103847.248392753","2342","116275.695756829","2333","106775.805730117","2241","118742.581022319"
"13","Hlanjwana","311","2016-10-31","2387","2731","170611.209818819","2833","209688.097327959","2841","183523.277090353","2783","161407.80043416"
"14","Hlanjwana","333","2016-11-16","4063","4206","185696.271186441","4449","260733.760393342","4503","277507.83182661","4383","315996.219931833"
"15","Hlanjwana","339","2016-12-02","3302","3249","49193.7627118644","3535","105243.854735781","3616","122064.367746264","3607","129058.39496947"
"16","Hlanjwana","354","2016-12-18","2714","3209","297695.933372297","3677","606423.209863412","3754","526342.961638083","3751","494986.122375344"
"17","Hlanjwana","9","2017-01-01","3797","4036","115404.906487434","4238.5","184779.914614122","4212","272354.741430437","4106","282584.81064554"
"18","Hlanjwana","20","2017-01-17","4919","5107","216240.396259497","5357","277463.061576355","5315","421970.718082842","5232","518041.326137455"
"19","Hlanjwana","43","2017-02-02","3686","3906","210394.205727645","4312","338785.679187192","4442","296977.866249161","4378","276107.3014117"
"20","Hlanjwana","59","2017-02-18","4702","4740","193912.807714787","5058.5","234183.318834901","5048","252174.772974221","4978","272054.611629211"
"21","Hlanjwana","77","2017-03-06","5188","5016","220790.001753361","5320.5","280679.664128974","5245","410379.950310604","5117","406395.739601854"
"22","Hlanjwana","82","2017-03-22","4192","4220","217402.278199883","4457.5","275890.668290043","4456","299083.19388749","4351","275518.61770563"
"23","Hlanjwana","107","2017-04-07","2904","3426","196158.888369375","3825","356931.185176892","4048","328803.308540342","3979","286553.655619665"
"24","Hlanjwana","123","2017-04-23","2769","3165","185009.757451783","3536","312771.048813256","3734","314359.751148982","3693","281110.291636296"
"25","Hlanjwana","139","2017-05-09","2631","3175","164036.28755114","3496","308048.749290939","3650","289170.974495134","3572","264629.134487308"
"26","Hlanjwana","150","2017-05-25","3120","3363","178679.922852133","3677","284643.880280639","3887","284255.38695969","3784","347155.831331703"
"27","Hlanjwana","171","2017-06-10","2548","2693","112223.455289305","3075.5","185072.581877892","3135","195227.571633682","3014","212377.840078476"
"28","Hlanjwana","187","2017-06-26","2277","2510","88756.5260081824","2831","167322.579918645","2922","184477.016493387","2812","206580.11868317"
"29","Hlanjwana","203","2017-07-12","2286","2435","66138.2010520164","2718.5","134249.254347664","2777","152109.87527507","2659","174212.462441331"
"30","Hlanjwana","210","2017-07-28","2010","2282","79208.5827001753","2541","130608.055810569","2614","147136.306159407","2507","166068.402987345"
"31","Hlanjwana","235","2017-08-13","1973","2246","89167.6580946815","2481.5","156016.997163756","2558","173852.133462241","2459","186644.602587246"
"32","Hlanjwana","248","2017-08-29","2770","2844","90139.7521917008","3105.5","178327.231527094","3249","193369.683241824","3173","228491.771814138"
"33","Hlanjwana","272","2017-09-14","2389","2748","42187.5096434833","2774","159458.414520824","2770","167856.562254241","2709","185412.372714247"
"34","Hlanjwana","281","2017-09-30","2653","2994","130389.663939217","3052.5","286678.312210778","3040","262523.766495191","2961","279915.430678647"
"35","Hlanjwana","290","2017-10-16","2590","2932","170129.428404442","3076.5","318862.218540081","3079","301810.644367645","2967","320515.817859584"
"36","Hlanjwana","313","2017-11-01","2391","2644","126129.981297487","2807.5","245462.066801015","2791","224432.18416173","2717","244846.394497163"
"37","Hlanjwana","333","2017-11-17","2578","3016","213039.139684395","3395.5","453284.235837438","3407","404933.802468958","3314","383119.22161897"
"38","Hlanjwana","337","2017-12-03","3342","4226","372657.801870251","4413","410122.186595014","4360","414195.125857678","4225","427227.978366951"
"39","Hlanjwana","1","2017-12-19","3938","4034","97014.9894798364","4168","433937.129403642","4317","661912.643566785","4442","613347.518273534"
"40","Hlanjwana","5","2018-01-01","4016","4331","166357.459964933","4536","251026.000298552","4499","312900.062791755","4371","338812.732081264"
"41","Hlanjwana","19","2018-01-17","2667","3181","173442.844535359","3596","216537.362124944","3737","235825.957135951","3670","313882.861607072"
"42","Hlanjwana","46","2018-02-02","4117","4709","185475.35710111","4883.5","220904.268920734","4853","277403.608581468","4803","284772.453690016"
"43","Hlanjwana","60","2018-02-18","3991","4653","338930.050847458","4703","624448.816670399","4680","733316.581518171","4605","767138.965253604"
"44","Hlanjwana","78","2018-03-06","4489","4823","279148.56691993","4959","337779.134497686","4907","450097.322450776","4872","436921.514869741"
"45","Hlanjwana","94","2018-03-22","4605","4877","303969.353594389","5052.5","338020.489625317","4992","440585.579894806","4930","477370.771612045"
"46","Hlanjwana","103","2018-04-07","4684","4684","237023.911747516","4950.5","278894.618133303","4887","346764.077697852","4791","318918.511945067"
"47","Hlanjwana","117","2018-04-23","3697","3958","203655.905902981","4332","255082.278679654","4333","304065.781336354","4258","265109.356726182"
"48","Hlanjwana","135","2018-05-09","4010","3834","136437.412624196","4171","194228.786386028","4210","264997.286036897","4170","242497.630812165"
"49","Hlanjwana","158","2018-05-25","3966","3944","110329.457042665","4205.5","144470.290024631","4206","172225.583473424","4171","172977.296595525"
"50","Hlanjwana","174","2018-06-10","3694","3827","102596.616014027","4116","135469.027597403","4094","185838.038015599","4031","190293.687339205"
"51","Hlanjwana","192","2018-06-26","3688","3589","105050.267679719","3867.5","158657.307284669","3967","187137.134732073","3917","221807.010036536"
"52","Hlanjwana","206","2018-07-12","2953","3279","95560.4167153711","3593.5","154343.5733505","3740","193141.469549282","3684","235494.654413919"
"53","Hlanjwana","211","2018-07-28","2279","2819","125592.213909994","3234","242024.411236752","3271","256908.46105728","3253","281939.026283462"
"54","Hlanjwana","231","2018-08-13","2749","2806","57965.4137931034","2874.5","105087.802358561","2966","125110.951544361","2925","162566.040350507"
"55","Hlanjwana","254","2018-08-29","2384","2869","113637.544126242","3040.5","163612.293402","3115","192215.464628682","3064","253706.758982359"
