"","Diptank","approx.date","ras.0"
"1","Hlanjwana","2016-04-30","14980"
"2","Hlanjwana","2016-05-08","14873"
"3","Hlanjwana","2016-05-16","14853"
"4","Hlanjwana","2016-05-24","14808"
"5","Hlanjwana","2016-06-01","14866"
"6","Hlanjwana","2016-06-09","14770"
"7","Hlanjwana","2016-06-17","14915"
"8","Hlanjwana","2016-06-25","14873"
"9","Hlanjwana","2016-07-03","14800"
"10","Hlanjwana","2016-07-11","14773"
"11","Hlanjwana","2016-07-19","14928"
"12","Hlanjwana","2016-07-27","14821"
"13","Hlanjwana","2016-08-04","14877"
"14","Hlanjwana","2016-08-12","14985"
"15","Hlanjwana","2016-08-20","14962"
"16","Hlanjwana","2016-08-28","15192"
"17","Hlanjwana","2016-09-05","15190"
"18","Hlanjwana","2016-09-13","14988"
"19","Hlanjwana","2016-09-21","15207"
"20","Hlanjwana","2016-09-29","15031"
"21","Hlanjwana","2016-10-07","15201"
"22","Hlanjwana","2016-10-15","15407"
"23","Hlanjwana","2016-10-23","15000"
"24","Hlanjwana","2016-10-31","15449"
"25","Hlanjwana","2016-11-08","15111"
"26","Hlanjwana","2016-11-16","15071"
"27","Hlanjwana","2016-11-24","15327"
"28","Hlanjwana","2016-12-02","15314"
"29","Hlanjwana","2016-12-10","15345"
"30","Hlanjwana","2016-12-18","15532"
"31","Hlanjwana","2016-12-26",NA
"32","Hlanjwana","2017-01-01","15145"
"33","Hlanjwana","2017-01-09","15075"
"34","Hlanjwana","2017-01-17","15102"
"35","Hlanjwana","2017-01-25","15239"
"36","Hlanjwana","2017-02-02","15120"
"37","Hlanjwana","2017-02-10","15278"
"38","Hlanjwana","2017-02-18","15232"
"39","Hlanjwana","2017-02-26","15101"
"40","Hlanjwana","2017-03-06","15022"
"41","Hlanjwana","2017-03-14","15032"
"42","Hlanjwana","2017-03-22","15098"
"43","Hlanjwana","2017-03-30","15144"
"44","Hlanjwana","2017-04-07","15103"
"45","Hlanjwana","2017-04-15","15001"
"46","Hlanjwana","2017-04-23","15021"
"47","Hlanjwana","2017-05-01","14920"
"48","Hlanjwana","2017-05-09","14917"
"49","Hlanjwana","2017-05-17","14876"
"50","Hlanjwana","2017-05-25","14753"
"51","Hlanjwana","2017-06-02","14861"
"52","Hlanjwana","2017-06-10","14775"
"53","Hlanjwana","2017-06-18","14812"
"54","Hlanjwana","2017-06-26","14803"
"55","Hlanjwana","2017-07-04","14923"
"56","Hlanjwana","2017-07-12","14885"
"57","Hlanjwana","2017-07-20","14852"
"58","Hlanjwana","2017-07-28","14876"
"59","Hlanjwana","2017-08-05","14901"
"60","Hlanjwana","2017-08-13","14901"
"61","Hlanjwana","2017-08-21","14986"
"62","Hlanjwana","2017-08-29","14831"
"63","Hlanjwana","2017-09-06","15204"
"64","Hlanjwana","2017-09-14","15032"
"65","Hlanjwana","2017-09-22","14957"
"66","Hlanjwana","2017-09-30","15144"
"67","Hlanjwana","2017-10-08","15202"
"68","Hlanjwana","2017-10-16","15241"
"69","Hlanjwana","2017-10-24","15365"
"70","Hlanjwana","2017-11-01","15347"
"71","Hlanjwana","2017-11-09","15187"
"72","Hlanjwana","2017-11-17","15291"
"73","Hlanjwana","2017-11-25","15215"
"74","Hlanjwana","2017-12-03","15449"
"75","Hlanjwana","2017-12-11","15024"
"76","Hlanjwana","2017-12-19","15282"
"77","Hlanjwana","2017-12-27","15083"
"78","Hlanjwana","2018-01-01","15200"
"79","Hlanjwana","2018-01-09","15367"
"80","Hlanjwana","2018-01-17","15232"
"81","Hlanjwana","2018-01-25","14968"
"82","Hlanjwana","2018-02-02","14940"
"83","Hlanjwana","2018-02-10","15079"
"84","Hlanjwana","2018-02-18","14826"
"85","Hlanjwana","2018-02-26","15156"
"86","Hlanjwana","2018-03-06","15002"
"87","Hlanjwana","2018-03-14","14993"
"88","Hlanjwana","2018-03-22","14998"
"89","Hlanjwana","2018-03-30","15071"
"90","Hlanjwana","2018-04-07","14822"
"91","Hlanjwana","2018-04-15","14900"
"92","Hlanjwana","2018-04-23","14926"
"93","Hlanjwana","2018-05-01","14849"
"94","Hlanjwana","2018-05-09","14773"
"95","Hlanjwana","2018-05-17","14800"
"96","Hlanjwana","2018-05-25","14833"
"97","Hlanjwana","2018-06-02","14670"
"98","Hlanjwana","2018-06-10","14801"
"99","Hlanjwana","2018-06-18","14796"
"100","Hlanjwana","2018-06-26","14725"
"101","Hlanjwana","2018-07-04","14695"
"102","Hlanjwana","2018-07-12","14650"
"103","Hlanjwana","2018-07-20","14794"
"104","Hlanjwana","2018-07-28","14805"
"105","Hlanjwana","2018-08-05","14723"
"106","Hlanjwana","2018-08-13","14913"
"107","Hlanjwana","2018-08-21","14778"
"108","Hlanjwana","2018-08-29","15007"
"109","Hlanjwana","2018-09-06","14966"
"110","Hlanjwana","2018-09-14","15075"
"111","Hlanjwana","2018-09-22","15146"
"112","Hlanjwana","2018-09-30","14954"
"113","Hlanjwana","2018-10-08","15162"
"114","Hlanjwana","2018-10-16","14662"
"115","Hlanjwana","2018-10-24","15311"
"116","Hlanjwana","2018-11-01","14980"
"117","Hlanjwana","2018-11-09","14995"
"118","Hlanjwana","2018-11-17","15317"
"119","Hlanjwana","2018-11-25","15450"
"120","Hlanjwana","2018-12-03","15557"
"121","Hlanjwana","2018-12-11","15240"
"122","Hlanjwana","2018-12-19","15308"
"123","Hlanjwana","2018-12-27","15141"
"124","Hlanjwana","2019-01-01","15012"
"125","Hlanjwana","2019-01-09","15134"
"126","Hlanjwana","2019-01-17","15020"
"127","Hlanjwana","2019-01-25","15201"
"128","Hlanjwana","2019-02-02","15005"
"129","Hlanjwana","2019-02-10","15353"
"130","Hlanjwana","2019-02-18","15053"
"131","Hlanjwana","2019-02-26","15021"
"132","Hlanjwana","2019-03-06","14990"
"133","Hlanjwana","2019-03-14","15072"
"134","Hlanjwana","2019-03-22","15017"
"135","Hlanjwana","2019-03-30","15020"
"136","Hlanjwana","2019-04-07","14945"
"137","Hlanjwana","2019-04-15","14887"
"138","Hlanjwana","2019-04-23","14920"
"139","Hlanjwana","2019-05-01","14908"
"140","Hlanjwana","2019-05-09","14861"
"141","Hlanjwana","2019-05-17","14898"
"142","Hlanjwana","2019-05-25","14835"
"143","Hlanjwana","2019-06-02","14769"
"144","Hlanjwana","2019-06-10","14749"
"145","Hlanjwana","2019-06-18","14813"
