"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"1","Hlanjwana","114","2016-04-22","4031","4781","647962.340151958","5710.5","1089838.9302881","6063","961878.893471187","5918","898102.046140816"
"2","Hlanjwana","133","2016-05-08","4704","4828","673784.819403857","5889","1105423.46796164","6178","933845.847410913","6036","922857.386760856"
"3","Hlanjwana","153","2016-05-24","5006","5745","595947.175336061","6465","924950.885206747","6578","811237.532312177","6324","817328.31725671"
"4","Hlanjwana","162","2016-06-09","5047","5416","443757.201052016","6068.5","779859.865931482","6325","741339.76917194","6065","798758.233138279"
"5","Hlanjwana","185","2016-06-25","3945","4576","547436.354763296","5333","975501.078052694","5693","866490.714691813","5418","880311.012214146"
"6","Hlanjwana","201","2016-07-11","3820","4258","519555.724137931","5053.5","918979.913401254","5316","841511.729367032","5031","852644.945457559"
"7","Hlanjwana","217","2016-07-27","3577","4236","429479.475160725","4954","837942.906833109","5208","758552.595551259","4998","785721.970128817"
"8","Hlanjwana","240","2016-08-12","3292","4138","544003.102279369","4791.5","876812.371230781","5014","827496.033946364","4827","797989.199359206"
"9","Hlanjwana","249","2016-08-28","3260","3759","453192.252483928","4505","713944.015823257","4696","669313.817360625","4464","652792.330976337"
"10","Hlanjwana","265","2016-09-13","3236","3661","420345.739918176","4430.5","729778.338091506","4636","685108.594266997","4398","678936.894922921"
"11","Hlanjwana","279","2016-09-29","3174","3782","348792.493863238","4540","715399.224641738","4625","632594.905707751","4353","626643.99340586"
"12","Hlanjwana","290","2016-10-15","2969","3478","260045.187025132","3995.5","376671.185979251","4003","353168.102769821","3821","368118.020347827"
"13","Hlanjwana","311","2016-10-31","3891","4605","452128.154295733","5223","687575.151515151","5294","632397.358705926","5171","595363.179740276"
"14","Hlanjwana","333","2016-11-16","5716","5906","226911.043834015","6642","440788.347514554","6744","420889.138570429","6649","443687.485105281"
"15","Hlanjwana","339","2016-12-02","5958","5958","182815.292226768","6648","382792.865726228","6789","343742.001161608","6690","389392.205422"
"16","Hlanjwana","354","2016-12-18","4046","4717","552328.243132671","5468","986789.177619794","5690","838526.362933889","5672","760988.312236172"
"17","Hlanjwana","9","2017-01-01","5799","6560","415450.722969024","7374","622272.138360203","7332","585432.328648422","7103","667215.409022891"
"18","Hlanjwana","20","2017-01-17","6200","6657","278703.545879603","7222","433021.386456934","7205","482213.221152806","7109","594921.584248997"
"19","Hlanjwana","43","2017-02-02","5378","5872","428512.800116891","6487.5","740407.09432378","6786","637392.706257531","6709","568699.955927801"
"20","Hlanjwana","59","2017-02-18","6766","6940","434090.312098188","7634","532786.1107628","7673","464575.942467948","7591","468925.682815952"
"21","Hlanjwana","77","2017-03-06","6883","6944","316934.890707189","7563.5","487435.525880728","7669","433311.647996768","7612","431069.647951479"
"22","Hlanjwana","82","2017-03-22","6495","6785","502242.175336061","7377.5","745479.667636961","7532","703023.447103556","7378","646022.523017046"
"23","Hlanjwana","107","2017-04-07","4897","5655","539620.575686733","6407.5","999258.688386326","6893","874501.53336556","6777","740240.764159576"
"24","Hlanjwana","123","2017-04-23","4862","5636","537765.641145529","6416","933555.194935811","6803","875035.149053759","6675","776316.854740447"
"25","Hlanjwana","139","2017-05-09","4723","5819","486656.414377557","6385.5","882007.993133303","6799","788811.614526591","6641","695690.318496518"
"26","Hlanjwana","150","2017-05-25","5238","5832","412053.623611923","6427","624629.100742648","6704","583776.982705752","6540","622617.014155603"
"27","Hlanjwana","171","2017-06-10","4801","5187","492248.152542373","5882","768161.987442156","6088","736178.541648329","5870","743483.301568379"
"28","Hlanjwana","187","2017-06-26","4153","4815","422140.554646406","5487","741054.128078818","5740","726548.946046565","5540","746651.589146917"
"29","Hlanjwana","203","2017-07-12","4139","4564","371834.797194623","5162","660172.524182714","5364","646667.380841408","5152","668356.964093272"
"30","Hlanjwana","210","2017-07-28","3727","4290","406381.760958504","4934","729758.869663383","5173","728220.270820557","5034","745372.685854161"
"31","Hlanjwana","235","2017-08-13","3411","4009","382250.322033898","4630","728397.140151515","4826","723733.234486043","4615","728075.88423015"
"32","Hlanjwana","248","2017-08-29","4186","4599","208477.209234366","5126","436133.572753396","5266","456835.858687888","5070","491099.232970247"
"33","Hlanjwana","272","2017-09-14","4292","5278","569874.694915254","5362","615067.573499776","5392","608211.946089855","5206","649002.473524663"
"34","Hlanjwana","281","2017-09-30","4548","5313","480992.995324372","5596","983759.183460218","5775","887781.329997619","5558","872014.593447641"
"35","Hlanjwana","290","2017-10-16","4170","4828","519378.954997078","5338.5","976938.89446186","5415","880867.531352588","5194","872415.053264031"
"36","Hlanjwana","313","2017-11-01","3982","4368","364412.285213326","5068","899961.493040006","5094","796294.218093665","4855","779135.173075744"
"37","Hlanjwana","333","2017-11-17","3763","4494","393714.140853302","4965.5","886574.270189581","5158","807579.456490213","4898","744709.690540906"
"38","Hlanjwana","337","2017-12-03","5094","5894","400756.581531268","6200","593834.788401254","6243","579303.48265164","6019","597070.857765032"
"39","Hlanjwana","1","2017-12-19","6500","6916","279293.659263589","7191","419245.780545604","7140","418008.83182661","6897","478741.830882102"
"40","Hlanjwana","5","2018-01-01","5865","6476","432271.834599649","7161.5","679104.424167786","7198","660964.260517601","6973","685416.990288176"
"41","Hlanjwana","19","2018-01-17","4354","5356","699457.491525424","6334","977267.341972683","6605","913146.557232632","6487","846288.347093833"
"42","Hlanjwana","46","2018-02-02","5877","6682","404676.322618352","7369.5","509142.242946708","7372","478482.120821639","7228","475804.898487935"
"43","Hlanjwana","60","2018-02-18","6372","7098","500489.108708358","7733","623009.323462457","7733","578817.391274233","7558","602938.845612195"
"44","Hlanjwana","78","2018-03-06","6375","7016","506269.706019871","7669","635117.62800418","7695","578400.373511014","7526","543466.033667809"
"45","Hlanjwana","94","2018-03-22","6789","7228","458596.705435418","7817","567513.430288103","7871","524370.686365899","7677","518807.771366808"
"46","Hlanjwana","103","2018-04-07","6763","7204","391211.954997078","7724.5","532536.738543066","7774","489138.342198108","7633","446677.48004387"
"47","Hlanjwana","117","2018-04-23","5996","6501","463712.597311514","7352","730723.168532617","7504","664796.647614375","7380","580852.028769889"
"48","Hlanjwana","135","2018-05-09","6223","6602","437223.319111631","7300.5","705263.406310643","7527","649460.566265756","7428","563352.371812775"
"49","Hlanjwana","158","2018-05-25","6483","6744","385447.069549971","7399","559901.773977459","7551","490114.6999228","7454","434465.22594013"
"50","Hlanjwana","174","2018-06-10","5960","6601","448437.448275862","7320.5","611935.073891626","7528","535554.32264558","7413","469501.562275342"
"51","Hlanjwana","192","2018-06-26","6035","6051","348032.312098188","6710","566995.886382296","6952","543138.518574902","6862","520997.602208038"
"52","Hlanjwana","206","2018-07-12","5062","5636","401947.55873758","6529.5","671314.987143604","6826","650825.368143087","6742","670319.919019689"
"53","Hlanjwana","211","2018-07-28","4331","5401","380157.210987726","5979","458210.563069115","6121","507606.230618827","6093","584022.046440549"
"54","Hlanjwana","231","2018-08-13","5001","5277","234240.920514319","5618","488899.783848336","5874","519098.353027756","5696","582890.051956103"
"55","Hlanjwana","254","2018-08-29","4055","4949","459855.216247808","5504.5","791834.718913271","5741","791883.452197315","5572","877914.016426312"
"56","Hlanjwana","261","2018-09-14","4416","5265","268683.851548802","5589","528251.895637409","5669","507999.329629656","5553","540428.77041311"
"57","Hlanjwana","279","2018-09-30","4609","5336","529160.063120982","5993","703825.012072697","6080","633018.612051861","5920","655111.062807823"
"58","Hlanjwana","300","2018-10-16","3996","5106","525191.531852718","5666","887574.930810569","5859","888565.43042258","5666","936677.234691445"
"59","Hlanjwana","309","2018-11-01","4700","5385","453362.078316774","5964","730318.188964771","6025","712503.387154494","5890","713364.799137585"
"60","Hlanjwana","329","2018-11-17","4975","5282","449956.241963764","5840","787598.123003433","6043","847871.943730565","5948","887393.289108996"
"61","Hlanjwana","352","2018-12-03","4789","5326","379343.848626534","5952.5","690663.367666816","6037","629297.006608899","5920","622526.444057667"
"62","Hlanjwana","353","2018-12-19","5221","5781","355048.704850964","6476.5","592879.02433199","6513","577161.518199724","6372","556192.857315431"
"63","Hlanjwana","12","2019-01-01","5785","6313","366730.036236119","6889","572214.582008509","6894","581079.269709454","6719","557180.28063925"
"64","Hlanjwana","22","2019-01-17","5847","6223","607694.357101111","7102","884805.313554262","7189","823147.78916458","6970","793867.243663018"
"65","Hlanjwana","42","2019-02-02","4842","5737","388316.176504968","6349","681098.78780415","6508","757751.23011378","6420","878930.718327577"
"66","Hlanjwana","49","2019-02-18","5161","6821","556930.207481005","7205.5","511645.174484998","7392","460732.385192026","7345","462942.422345143"
"67","Hlanjwana","79","2019-03-06","6113","6817","623490.336645237","7643.5","781749.421835349","7728","687796.555241304","7588","620313.403532316"
"68","Hlanjwana","84","2019-03-22","6707","7322","356173.882524839","7798","453080.579022989","7798","410132.27995469","7693","376532.333374206"
"69","Hlanjwana","97","2019-04-07","6097","7259","611387.065458796","7928","654010.97716077","7959","553063.484989286","7809","518078.813615628"
"70","Hlanjwana","120","2019-04-23","6053","7018","606389.684979544","7837.5","722767.316315868","7872","608467.846913081","7770","543598.865510421"
"71","Hlanjwana","136","2019-05-09","5349","6473","669948.8264173","7405","854112.657635468","7621","703763.932403085","7508","594410.444807001"
"72","Hlanjwana","145","2019-05-25","5149","6342","550427.140268849","7167.5","737496.516327064","7395","608839.369809742","7313","514898.199697541"
"73","Hlanjwana","168","2019-06-10","4693","5725","582524.046756283","6719.5","931477.765618003","7082","780609.536886458","6969","664318.062944066"
"74","Hlanjwana","186","2019-06-26","4925","5431","535917.901811806","6244.5","879414.060904613","6746","773091.25349745","6612","701133.765378947"
"75","Hlanjwana","202","2019-07-12","4413","5238","477343.447106955","5926","841620.194357367","6396","788325.761697246","6363","699087.656269088"
"76","Hlanjwana","223","2019-07-28","4053","4836","290479.187609585","5446","704753.060083595","5902","675980.631063268","5819","618249.522506137"
"77","Hlanjwana","234","2019-08-13","3654","4575","348656.412624196","5284","886013.235688162","5833","849776.135958615","5650","824762.521743178"
"78","Hlanjwana","255","2019-08-29","3598","4418","367390.834599649","5239","950950.497219734","5593","915185.795665255","5437","895530.458935355"
"79","Hlanjwana","271","2019-09-14","3682","4313","422433.593220339","5096","971785.822939991","5451","941422.466728234","5258","950963.255981616"
"80","Hlanjwana","285","2019-09-30","4383","4587","400431.601402688","5221.5","823242.469155844","5521","816852.719742282","5341","826281.615468981"
"81","Hlanjwana","291","2019-10-16","4615","4920","441121.450029223","5538","826078.558814748","5668","720823.610543935","5442","755878.323741857"
"82","Hlanjwana","307","2019-11-01","5203","5952","358657.390999416","6296.5","561354.194637259","6392","472356.516237257","6275","425676.645885134"
"83","Hlanjwana","333","2019-11-17","6335","7069","341107.810052601","7257.5","419041.748843111","7243","381650.089400509","7088","382932.112565879"
"84","Hlanjwana","349","2019-12-03","7248","7020","431856.210987726","7643","535097.936930885","7626","488537.653040021","7475","457448.410417107"
"85","Hlanjwana","360","2019-12-19","5629","6088","468029.631794272","6981","793092.373469921","7203","721619.122538798","7083","678460.20414132"
"86","Hlanjwana","6","2020-01-01","4717","5423","357148.622443016","6252","762469.946559188","6632","713949.977741863","6621","731398.351862322"
"87","Hlanjwana","29","2020-01-17","4820","5542","380406.632963179","6260","803000.300026123","6690","712538.808262567","6668","618674.932494079"
"88","Hlanjwana","45","2020-02-02","6033","6087","624902.704266511","6961","936097.217121958","7251","786982.58333634","7127","662534.077542457"
"89","Hlanjwana","57","2020-02-18","5562","6193","571089.572764465","7297.5","1020732.27211151","7490","965798.452406548","7378","890505.495366617"
"90","Hlanjwana","68","2020-03-05","4847","5740","684231.991817651","6529.5","893007.748899089","6840","820130.717909683","6725","739504.467918282"
"91","Hlanjwana","91","2020-03-21","4656","5361","508408.86440678","6175","949359.150600836","6542","895971.943824359","6359","817179.281431728"
"92","Madlakude","114","2016-04-22","6140","4324","404453.288135593","4340.5","431382.438428524","4353","709465.000673978","4518","836251.462321001"
"93","Madlakude","137","2016-05-08","6316","4339","628236.007013442","4442","457231.507079711","4510","724217.365413214","4661","831307.324816343"
"94","Madlakude","153","2016-05-24","6287","4625","647954.670368206","4628","498411.86544881","4714","757396.803696622","4817","828077.038440307"
"95","Madlakude","162","2016-06-09","6161","4452","562474.52893045","4490","445619.738894391","4565","726006.941451836","4682","812716.070539448"
"96","Madlakude","185","2016-06-25","5245","3971","582482.959672706","4090.5","424680.720956678","4092","641982.180435595","4176","711226.887117103"
"97","Madlakude","201","2016-07-11","5504","3844","568902.785505552","3831.5","377789.297824731","3849","559582.8915848","3900","621907.294759624"
"98","Madlakude","217","2016-07-27","5134","3713","475949.012857978","3747","399145.131598254","3792","546226.317406943","3898","608857.623380208"
"99","Madlakude","240","2016-08-12","4907","3574","332378.184102864","3574.5","318766.927698911","3594","471180.67937701","3698","531549.029106808"
"100","Madlakude","249","2016-08-28","4350","3286","329444.51081239","3283","266111.042680019","3338","368930.968945737","3415","443861.051787349"
"101","Madlakude","265","2016-09-13","4370","3290","338622.995324372","3243.5","256049.137760904","3301","361451.311048109","3369","425495.766779828"
"102","Madlakude","279","2016-09-29","4497","3154","381349.030976037","3125.5","305552.963941161","3175","385342.047229731","3244","442928.725791093"
"103","Madlakude","290","2016-10-15","3913","3013","165149.683810637","3034.5","139048.803272074","3066","202867.129638176","3109","230089.678021887"
"104","Madlakude","313","2016-10-31","5834","4458","558709.986557569","4398.5","367646.901214189","4352","447466.670351567","4434","452251.051490646"
"105","Madlakude","334","2016-11-16","6702","5968","489028.613091759","5882","442231.531290121","5766","693465.31014703","5876","732731.705424377"
"106","Madlakude","339","2016-12-02","6564","6244","191233.392168323","6108","242316.836506364","6038","460648.300088643","6080","517964.41225407"
"107","Madlakude","354","2016-12-18","6431","5029","546383.61484512","5019","481813.051923994","4981","712120.350072892","5029","910338.065587495"
"108","Madlakude","9","2017-01-01","7423","6249","512900.262419638","6179","560373.763765086","5968","871407.535482737","6059","916576.479851786"
"109","Madlakude","20","2017-01-17","7589","6415","614652.420806546","6248","662315.623729871","6192","983577.307568332","6282","1012151.91251627"
"110","Madlakude","43","2017-02-02","7262","5899","503765.158971362","5746.5","509428.191647408","5684","730031.29556127","5710","745191.702572347"
"111","Madlakude","59","2017-02-18","7956","7304","562955.185271771","6996","604022.645849382","6890","945431.405983751","6887","775061.930454163"
"112","Madlakude","71","2017-03-06","7814","7061","436462.837521917","6912","566142.507923407","6739","785975.552266251","6754","659150.19997102"
"113","Madlakude","91","2017-03-22","7059","6284","556822.237872589","6140.5","589631.046201533","6097","772261.653575379","6098","717225.820179494"
"114","Madlakude","107","2017-04-07","6635","5659","590228.28755114","5580","562083.929001137","5540","669229.005267284","5551","631127.091156866"
"115","Madlakude","125","2017-04-23","6203","5702","274324.007013442","5700","316292.424709292","5594","481789.670021904","5541","535088.57172856"
"116","Madlakude","139","2017-05-09","6894","5694","507250.876680304","5676.5","440478.219305968","5590","604099.878830502","5537","583064.130675885"
"117","Madlakude","150","2017-05-25","6406","5682","257661.378141438","5611","348404.182825282","5567","511229.954843483","5572","603791.443442401"
"118","Madlakude","171","2017-06-10","5027","4897","366653.227352425","4901.5","382365.794156487","4887","503454.947722761","4906","560962.3773719"
"119","Madlakude","187","2017-06-26","6040","4615","388933.705435418","4583","363319.995304648","4630","478994.044834179","4624","538144.863367052"
"120","Madlakude","203","2017-07-12","5191","4336","349669.874926943","4311","306833.58748762","4312","411044.181659011","4303","488289.746735115"
"121","Madlakude","210","2017-07-28","4928","4233","339645.782583285","4167.5","297089.425552988","4149","369039.382892684","4114","451740.252942881"
"122","Madlakude","235","2017-08-13","5053","3821","348475.88603156","3789","282523.698562048","3790","367190.506919262","3786","429101.325368349"
"123","Madlakude","248","2017-08-29","4560","4214","141582.09585038","4131","170195.154341367","4102","246406.3674498","4175","277806.81416033"
